Date,Reason,Description
2015-01-01,No data for January,Data starts in May.
2015-01-02,No data for January,Data starts in May.
2015-01-03,No data for January,Data starts in May.
2015-01-04,No data for January,Data starts in May.
2015-01-05,No data for January,Data starts in May.
2015-01-06,No data for January,Data starts in May.
2015-01-07,No data for January,Data starts in May.
2015-01-08,No data for January,Data starts in May.
2015-01-09,No data for January,Data starts in May.
2015-01-10,No data for January,Data starts in May.
2015-01-11,No data for January,Data starts in May.
2015-01-12,No data for January,Data starts in May.
2015-01-13,No data for January,Data starts in May.
2015-01-14,No data for January,Data starts in May.
2015-01-15,No data for January,Data starts in May.
2015-01-16,No data for January,Data starts in May.
2015-01-17,No data for January,Data starts in May.
2015-01-18,No data for January,Data starts in May.
2015-01-19,No data for January,Data starts in May.
2015-01-20,No data for January,Data starts in May.
2015-01-21,No data for January,Data starts in May.
2015-01-22,No data for January,Data starts in May.
2015-01-23,No data for January,Data starts in May.
2015-01-24,No data for January,Data starts in May.
2015-01-25,No data for January,Data starts in May.
2015-01-26,No data for January,Data starts in May.
2015-01-27,No data for January,Data starts in May.
2015-01-28,No data for January,Data starts in May.
2015-01-29,No data for January,Data starts in May.
2015-01-30,No data for January,Data starts in May.
2015-01-31,No data for January,Data starts in May.
2015-02-01,No data for February,Data starts in May.
2015-02-02,No data for February,Data starts in May.
2015-02-03,No data for February,Data starts in May.
2015-02-04,No data for February,Data starts in May.
2015-02-05,No data for February,Data starts in May.
2015-02-06,No data for February,Data starts in May.
2015-02-07,No data for February,Data starts in May.
2015-02-08,No data for February,Data starts in May.
2015-02-09,No data for February,Data starts in May.
2015-02-10,No data for February,Data starts in May.
2015-02-11,No data for February,Data starts in May.
2015-02-12,No data for February,Data starts in May.
2015-02-13,No data for February,Data starts in May.
2015-02-14,No data for February,Data starts in May.
2015-02-15,No data for February,Data starts in May.
2015-02-16,No data for February,Data starts in May.
2015-02-17,No data for February,Data starts in May.
2015-02-18,No data for February,Data starts in May.
2015-02-19,No data for February,Data starts in May.
2015-02-20,No data for February,Data starts in May.
2015-02-21,No data for February,Data starts in May.
2015-02-22,No data for February,Data starts in May.
2015-02-23,No data for February,Data starts in May.
2015-02-24,No data for February,Data starts in May.
2015-02-25,No data for February,Data starts in May.
2015-02-26,No data for February,Data starts in May.
2015-02-27,No data for February,Data starts in May.
2015-02-28,No data for February,Data starts in May.
2015-03-01,No data for March,Data starts in May.
2015-03-02,No data for March,Data starts in May.
2015-03-03,No data for March,Data starts in May.
2015-03-04,No data for March,Data starts in May.
2015-03-05,No data for March,Data starts in May.
2015-03-06,No data for March,Data starts in May.
2015-03-07,No data for March,Data starts in May.
2015-03-08,No data for March,Data starts in May.
2015-03-09,No data for March,Data starts in May.
2015-03-10,No data for March,Data starts in May.
2015-03-11,No data for March,Data starts in May.
2015-03-12,No data for March,Data starts in May.
2015-03-13,No data for March,Data starts in May.
2015-03-14,No data for March,Data starts in May.
2015-03-15,No data for March,Data starts in May.
2015-03-16,No data for March,Data starts in May.
2015-03-17,No data for March,Data starts in May.
2015-03-18,No data for March,Data starts in May.
2015-03-19,No data for March,Data starts in May.
2015-03-20,No data for March,Data starts in May.
2015-03-21,No data for March,Data starts in May.
2015-03-22,No data for March,Data starts in May.
2015-03-23,No data for March,Data starts in May.
2015-03-24,No data for March,Data starts in May.
2015-03-25,No data for March,Data starts in May.
2015-03-26,No data for March,Data starts in May.
2015-03-27,No data for March,Data starts in May.
2015-03-28,No data for March,Data starts in May.
2015-03-29,No data for March,Data starts in May.
2015-03-30,No data for March,Data starts in May.
2015-03-31,No data for March,Data starts in May.
2015-04-01,No data for April,Data starts in May.
2015-04-02,No data for April,Data starts in May.
2015-04-03,No data for April,Data starts in May.
2015-04-04,No data for April,Data starts in May.
2015-04-05,No data for April,Data starts in May.
2015-04-06,No data for April,Data starts in May.
2015-04-07,No data for April,Data starts in May.
2015-04-08,No data for April,Data starts in May.
2015-04-09,No data for April,Data starts in May.
2015-04-10,No data for April,Data starts in May.
2015-04-11,No data for April,Data starts in May.
2015-04-12,No data for April,Data starts in May.
2015-04-13,No data for April,Data starts in May.
2015-04-14,No data for April,Data starts in May.
2015-04-15,No data for April,Data starts in May.
2015-04-16,No data for April,Data starts in May.
2015-04-17,No data for April,Data starts in May.
2015-04-18,No data for April,Data starts in May.
2015-04-19,No data for April,Data starts in May.
2015-04-20,No data for April,Data starts in May.
2015-04-21,No data for April,Data starts in May.
2015-04-22,No data for April,Data starts in May.
2015-04-23,No data for April,Data starts in May.
2015-04-24,No data for April,Data starts in May.
2015-04-25,No data for April,Data starts in May.
2015-04-26,No data for April,Data starts in May.
2015-04-27,No data for April,Data starts in May.
2015-04-28,No data for April,Data starts in May.
2015-04-29,No data for April,Data starts in May.
2015-04-30,No data for April,Data starts in May.
